crossing time (s)	slope (V/s)	crossing number
4099.371875	149.551734	1315
4100.423223	145.083231	1316
4101.524040	148.380763	1317
4102.553473	146.835843	1318
4103.618935	154.388205	1319
4104.647577	146.958308	1320
4105.735442	152.574561	1321
4106.798098	148.007138	1322
4107.860225	153.420080	1323
4108.907243	153.440479	1324
4109.957651	146.431710	1325
4111.001721	147.506217	1326
4112.079481	152.926077	1327
4113.158065	147.143009	1328
4114.200752	152.043943	1329
4115.257642	144.384264	1330
4116.330902	152.741313	1331
4117.372471	150.686640	1332
4118.442403	146.288489	1333
4119.471859	150.635783	1334
4120.528760	152.214672	1335
4121.575781	150.101620	1336
4122.650895	153.214137	1337
4123.720759	147.111483	1338
4124.767250	146.190126	1339
4125.850011	146.620825	1340
4126.872607	151.542857	1341
4127.965942	146.176217	1342
4128.994726	145.342408	1343
4130.080423	147.281504	1344
4131.109818	151.860056	1345
4132.160815	145.889369	1346
4133.233416	152.245284	1347
4134.293250	146.595149	1348
4135.354072	144.454046	1349
4136.385107	146.566658	1350
4137.468276	150.656355	1351
4138.515685	147.060204	1352
4139.607603	151.606572	1353
4140.638734	151.439831	1354
4141.709470	150.646018	1355
4142.771227	150.614463	1356
4143.832020	152.703233	1357
4144.848551	142.336081	1358
4145.940108	153.379334	1359
4146.996997	148.748780	1360
4148.034806	147.223717	1361
4149.105635	143.154828	1362
4150.129872	145.476695	1363
4151.228390	142.460761	1364
4152.275474	151.457703	1365
4153.328769	142.332645	1366
4154.389161	150.544604	1367
4155.446887	143.404262	1368
4156.512124	150.510652	1369
4157.568414	148.329225	1370
4158.619741	151.071254	1371
4159.664017	148.150427	1372
4160.748349	144.459776	1373
4161.770418	142.438727	1374
4162.868618	149.967710	1375
4163.907194	147.973057	1376
4164.969649	143.787868	1377
4166.037725	147.651425	1378
4167.069870	144.971728	1379
4168.142570	141.749143	1380
4169.187752	150.069164	1381
4170.255864	147.293471	1382
4171.307864	151.011989	1383
4172.367075	147.706549	1384
4173.432390	149.918383	1385
4174.502526	147.174412	1386
4175.543513	144.179354	1387
4176.607085	146.862937	1388
4177.654064	149.512085	1389
4178.701207	146.598139	1390
4179.773203	144.109653	1391
4180.824119	147.090755	1392
4181.885044	148.643088	1393
4182.963994	143.713390	1394
4184.001955	149.473179	1395
4185.068024	143.415045	1396
4186.122171	149.127105	1397
4187.163084	143.142655	1398
4188.237372	142.605333	1399
4189.298462	144.369302	1400
4190.339396	147.895667	1401
4191.403041	143.825725	1402
4192.467039	141.978494	1403
4193.540183	142.644312	1404
4194.580940	142.084598	1405
4195.625025	147.499108	1406
4196.701443	141.894323	1407
4197.721440	141.285017	1408
4198.819268	147.456647	1409
4199.878313	143.071945	1410
4200.938348	141.951897	1411
4201.972611	143.896467	1412
4203.052185	142.603672	1413
4204.095108	142.791911	1414
4205.165615	142.402907	1415
4206.224087	142.358702	1416
4207.271369	141.735600	1417
4208.319422	142.634248	1418
4209.372631	147.109996	1419
4210.417619	143.287065	1420
4211.502753	140.895205	1421
4212.551434	146.353201	1422
4213.609800	147.204825	1423
4214.666660	140.180524	1424
4215.731085	146.503315	1425
4216.796168	145.375165	1426
